Designator,Layer,Mid X,Mid Y,Rotation
C1,Top,80.720000,-79.712500,0.000000
C2,Top,80.720000,-84.512500,0.000000
C3,Top,85.440000,-91.800000,180.000000
C4,Top,85.440000,-86.400000,0.000000
C5,Top,86.960000,-80.810000,90.000000
C6,Top,85.360000,-80.810000,90.000000
C7,Top,77.520000,-84.512500,180.000000
C8,Top,77.445000,-79.700000,180.000000
C9,Top,77.420000,-78.100000,180.000000
C10,Top,75.745000,-93.900000,180.000000
C11,Top,86.960000,-83.910000,90.000000
C12,Top,88.560000,-83.910000,90.000000
C13,Top,75.745000,-95.500000,180.000000
C14,Top,88.120000,-100.100000,0.000000
C15,Top,84.080000,-96.575000,-90.000000
C16,Top,85.820000,-96.575000,-90.000000
C17,Top,88.120000,-101.700000,0.000000
C18,Top,91.060000,-90.910000,0.000000
C19,Top,83.645000,-98.900000,0.000000
D2,Top,80.420000,-94.700000,0.000000
J2,Top,90.220000,-109.525000,0.000000
J3,Top,79.320000,-106.225000,90.000000
L1,Top,78.120000,-82.112500,90.000000
L2,Top,80.020000,-82.112500,-90.000000
R1,Top,82.620000,-88.900000,180.000000
R2,Top,83.760000,-80.810000,-90.000000
R3,Top,88.560000,-80.810000,-90.000000
R4,Top,93.120000,-104.500000,0.000000
R5,Top,87.520000,-104.600000,180.000000
R6,Top,94.160000,-90.910000,180.000000
R7,Top,78.220000,-98.500000,-90.000000
R8,Top,76.620000,-98.500000,-90.000000
R9,Top,75.020000,-98.500000,-90.000000
R10,Top,80.595000,-98.900000,180.000000
R11,Top,80.595000,-97.300000,0.000000
SW1,Top,92.720000,-81.400000,0.000000
SW2,Top,92.720000,-84.900000,0.000000
SW3,Top,92.720000,-88.400000,0.000000
U1,Top,78.220000,-89.200000,-90.000000
U2,Top,91.020000,-95.600000,0.000000
U3,Top,91.453884,-102.540000,90.000000
Y2,Top,85.520000,-89.100000,90.000000
